a52dec 0.7.4-12
aalib 1.4rc5-15
accountsservice 22.08.8-2
acl 2.3.1-3
acpi 1.7-3
acpid 2.0.34-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
afpfs-ng 0.8.2-2
alacritty 0.11.0-2
alsa-card-profiles 1:0.3.65-6
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
aom 3.6.0-1
apache 2.4.55-1
appstream-glib 0.8.2-1
apr 1.7.0-3
apr-util 1.6.1-11
archlinux-keyring 20230130-1
argon2 20190702-4
assimp 5.2.5-2
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
aubio 0.4.9-14
audit 3.0.9-2
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 3-1
bash 5.1.016-3
bc 1.07.1-4
bcg729 1.1.1-1
binutils 2.40-4
binwalk 2.3.4-1
bison 3.8.2-4
blackarch-keyring 20180925-5
blas 3.11.0-2
bluez 5.66-1
bluez-libs 5.66-1
bluez-utils 5.66-1
boost 1.81.0-3
boost-libs 1.81.0-3
box2d 2.4.1-1
brltty 6.5-3
brotli 1.0.9-9
btop 1.2.13-1
btrfs-progs 6.1.3-1
bubblewrap 0.7.0-1
burpsuite 1:2023.2-1
bzip2 1.0.8-5
c-ares 1.19.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.88.1-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
calc 2.14.1.0-1
calf 0.90.3-5
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cblas 3.11.0-2
cdparanoia 10.2-8
cheese 43.0-1
chromaprint 1.5.1-6
cifs-utils 7.0-2
clucene 2.3.3.4-14
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.25.2-1
cogl 1.22.8-2
confuse 3.3-3
conky 1.17.0-1
cool-retro-term 1.2.0-2
coordgen 3.0.2-1
copyq 6.4.0-1
coreutils 9.1-3
cpio 2.13-3
cryptsetup 2.6.1-1
curl 7.87.0-3
cython 0.29.33-1
dav1d 1.0.0-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.6-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-2
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.18-5
dhcpcd 9.4.1-1
diffutils 3.9-1
dirb 2.22-2
dkms 3.0.10-1
dmenu 5.2-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
doge 3.6.0-1
dosfstools 4.2-3
double-conversion 3.2.1-1
doxygen 1.9.6-1
dpkg 1.21.20-1
dtc 1.6.1-4
duktape 2.7.0-5
e2fsprogs 1.47.0-1
ed 1.19-1
edk2-aarch64 202211-3
edk2-arm 202211-3
edk2-ovmf 202211-3
efibootmgr 18-1
efitools 1.9.2-5
efivar 38-2
elfutils 0.188-3
ell 0.56-1
enchant 2.3.3-2
enum4linux 0.9.1-2
esptool 4.4-1
exempi 2.6.3-1
exfat-utils 1.3.0-2
exiv2 0.27.6-1
expac 10-5
expat 2.5.0-1
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.31-2
feh 3.9.1-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
fftw 3.3.10-3
file 5.44-2
filesystem 2023.01.31-1
filezilla 3.63.1-1
findutils 4.9.0-2
firefox 110.0-1
flac 1.4.2-1
flashrom 1.2-4
flex 2.6.4-4
fluidsynth 2.3.1-1
fontconfig 2:2.14.2-1
fprintd 1.94.2-1
freeglut 3.4.0-1
freeimage 3.18.0-17
freerdp 2:2.9.0-1
freetype2 2.13.0-1
frei0r-plugins 2.2.0-1
fribidi 1.0.12-1
fuse-common 3.13.1-1
fuse2 2.9.9-4
fuse3 3.13.1-1
fzf 0.37.0-1
gavl 1.4.0-6
gawk 5.2.1-1
gc 8.2.2-1
gcab 1.5-1
gcc 12.2.1-2
gcc-libs 12.2.1-2
gcr 3.41.1-3
gd 2.3.3-6
gdb 12.1-2
gdb-common 12.1-2
gdbm 1.23-1
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
geocode-glib 3.26.4-2
geocode-glib-common 3.26.4-2
gettext 0.21.1-2
ghc-libs 9.0.2-3
ghostscript 10.0.0-4
giflib 5.2.1-2
git 2.39.2-1
glew 2.2.0-6
glib-networking 1:2.74.0-1
glib-perl 1.329.3-3
glib2 2.74.5-1
glib2-docs 2.74.5-1
glibc 2.37-2
glibmm 2.66.5-1
glslang 11.13.0-2
glu 9.0.2-3
glusterfs 1:10.3-2
gmp 6.2.1-2
gnome-autoar 0.4.3-2
gnome-backgrounds 43.1-1
gnome-desktop 1:43.2-1
gnome-desktop-4 1:43.2-1
gnome-desktop-common 1:43.2-1
gnome-font-viewer 43.0-1
gnome-menus 3.36.0-2
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-video-effects 0.5.0+4+g9554041-2
gnupg 2.2.40-1
gnutls 3.7.9-1
go 2:1.20-1
gobject-introspection 1.74.0-1
gobject-introspection-runtime 1.74.0-1
gperftools 2.10-1
gpgme 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 7.1.0-1
grep 3.8-3
groff 1.22.4-7
grub 2:2.06.r456.g65bc45963-1
grub-customizer 5.2.2-2
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsm 1.0.22-1
gssdp 1.6.2-1
gst-libav 1.22.0-3
gst-plugin-gtk 1.22.0-3
gst-plugins-bad 1.22.0-3
gst-plugins-bad-libs 1.22.0-3
gst-plugins-base 1.22.0-3
gst-plugins-base-libs 1.22.0-3
gst-plugins-good 1.22.0-3
gstreamer 1.22.0-3
gtk-doc 1.33.2-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.8.3-3
gtk2 2.24.33-2
gtk3 1:3.24.36-1
gtk4 1:4.8.3-3
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gts 0.7.6.121130-2
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-dlna 0.12.0-2
gupnp-igd 1.2.0-3
gvfs 1.50.3-1
gzip 1.12-2
harfbuzz 7.0.0-1
harfbuzz-icu 7.0.0-1
haskell-aeson 2.1.1.0-14
haskell-assoc 1.0.2-176
haskell-attoparsec 0.14.4-49
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-36
haskell-base-orphans 0.8.7-43
haskell-bifunctors 5.5.14-8
haskell-comonad 5.0.8-177
haskell-contravariant 1.5.5-3
haskell-data-array-byte 0.1.0.1-5
haskell-data-fix 0.3.2-77
haskell-diff 0.4.1-50
haskell-distributive 0.6.2.1-180
haskell-dlist 1.0-203
haskell-erf 2.0.0.0-24
haskell-fgl 5.8.1.1-1
haskell-generically 0.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-hashable 1.4.2.0-10
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1.1-33
haskell-integer-logarithms 1.0.3.1-6
haskell-onetuple 0.3.1-50
haskell-primitive 0.7.4.0-61
haskell-quickcheck 2.14.2-396
haskell-random 1.2.1.1-94
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.2-32
haskell-scientific 0.3.7.0-88
haskell-semialign 1.2.0.1-100
haskell-semigroupoids 5.3.7-84
haskell-splitmix 0.1.0.4-126
haskell-statevar 1.2.2-2
haskell-strict 0.4.0.1-150
haskell-tagged 0.8.6.1-5
haskell-text-short 0.1.5-54
haskell-th-abstraction 0.4.5.0-1
haskell-these 1.1.1.1-177
haskell-time-compat 1.9.6.1-72
haskell-transformers-compat 0.7.2-1
haskell-unordered-containers 0.2.19.1-56
haskell-uuid-types 1.0.5-92
haskell-vector 0.13.0.0-32
haskell-vector-stream 0.1.0.0-1
haskell-witherable 0.4.2-41
hicolor-icon-theme 0.17-2
hidapi 0.13.1-1
highway 1.0.3-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.367-1
hwloc 2.8.0-1
hydra 9.4-2
hyphen 2.8.8-5
i3-wm 4.22-3
i3status 2.14-1
iana-etc 20230105-1
icu 72.1-2
ifuse 1.1.4-3
ijs 0.35-5
imagemagick 7.1.0.62-1
imath 3.1.6-2
imlib2 1.10.0-3
impacket 0.9.24-1
imv 4.4.0-1
inetutils 2.3-1
iniparser 4.1-4
intel-ucode 20230214-1
intltool 0.51.0-6
iproute2 6.1.0-5
iptables 1:1.8.9-1
iputils 20221126-1
iso-codes 4.12.0-1
itstool 1:2.0.7-1
iw 5.19-1
iwd 2.3-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.19-1
jemalloc 1:5.3.0-1
jre-openjdk 19.0.2.u7-2
jre-openjdk-headless 19.0.2.u7-2
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jxrlib 0.2.4-1
kbd 2.5.1-1
kconfig 5.103.0-1
kcoreaddons 5.103.0-1
keepass 2.51-1
keyutils 1.6.3-1
kmod 30-3
knotifications 5.103.0-1
krb5 1.20.1-1
kwindowsystem 5.103.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.11.0-2
lcms2 2.14-2
ldb 2:2.6.1-2
ldns 1.8.3-2
less 1:608-2
lib32-attr 2.5.1-1
lib32-e2fsprogs 1.47.0-1
lib32-gcc-libs 12.2.1-2
lib32-glibc 2.37-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libcap 2.67-1
lib32-libldap 2.6.3-3
lib32-libtirpc 1.3.3-2
lib32-libxcrypt 4.4.33-1
lib32-openssl 1:3.0.7-1
lib32-pam 1.5.2-1
lib32-vulkan-icd-loader 1.3.240-1
libabw 0.1.3-3
libadwaita 1:1.2.2-1
libaio 0.3.113-1
libarchive 3.6.2-2
libass 0.17.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-5
libatomic_ops 7.6.14-1
libavc1394 0.5.4-4
libavif 0.11.1-1
libavtp 0.2.0-1
libb2 0.98.1-2
libblockdev 2.28-1
libbluray 1.3.4-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcacard 2.7.0-2
libcamera 0.0.4-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.67-1
libcap-ng 0.8.3-1
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-5
libcheese 43.0-1
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libcue 2.2.1-2
libcups 1:2.4.2-5
libdaemon 0.14-5
libdatrie 0.2.13-2
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.11-1
libdrm 2.4.115-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libe-book 0.1.3-13
libebml 1.4.4-1
libebur128 1.2.6-1
libedit 20210910_3.1-2
libelf 0.188-3
libepoxy 1.5.10-1
libepubgen 0.1.1-4
libetonyek 0.1.10-3
libev 4.33-2
libevdev 1.13.0-1
libevent 2.1.12-4
libexif 0.6.24-1
libexttextcat 3.4.6-1
libfakekey 0.3-2
libfbclient 4.0.0.2496-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfilezilla 1:0.41.0-1
libfontenc 1.1.7-1
libfprint 1.94.5-1
libfreeaptx 0.1.1-1
libfreehand 0.1.2-4
libftdi 1.5-4
libgcrypt 1.10.1-2
libgdiplus 5.6.1-4
libgee 0.20.6-1
libgexiv2 0.14.0-3
libgit2 1:1.5.1-2
libglvnd 1.6.0-1
libgme 0.6.3-1
libgnomekbd 1:3.28.1-1
libgpg-error 1.46-2
libgrss 0.7.0+16+g971c421-3
libgsf 1.14.50-1
libgssglue 0.7-1
libgudev 237-2
libgusb 0.4.5-1
libgxps 0.3.2-3
libhandy 1.8.1-1
libheif 1.15.0-1
libical 3.0.16-4
libice 1.1.1-1
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimagequant 4.1.0-1
libimobiledevice 1.3.0-6
libinih 56-1
libinput 1.22.1-1
libinstpatch 1.1.6-1
libiptcdata 1.0.5-1
libiscsi 1.19.0-2
libisl 0.25-1
libixion 0.17.0-4
libjpeg-turbo 2.1.5-2
libjxl 0.8.1-1
libkate 0.4.1-8
libkeybinder3 0.3.2-4
libksba 1.6.3-1
liblangtag 0.6.4-1
liblc3 1.0.1-1
libldac 2.0.2.3-1
libldap 2.6.3-2
liblo 1:0.31-2
liblouis 3.24.0-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libluv 1.44.2_1-2
libmad 0.15.1b-9
libmanette 0.2.6-3
libmatroska 1.7.1-1
libmaxminddb 1.7.1-1
libmd 1.0.4-1
libmemcached-awesome 1.1.3-1
libmfx 23.1.0-1
libmicrodns 0.2.0-1
libmm-glib 1.20.4-1
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-3
libmpdclient 2.20-2
libmpeg2 0.5.1-7
libmspack 1:0.11alpha-1
libmspub 0.1.4-13
libmwaw 0.3.21-3
libnautilus-extension 43.2-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.4-1
libnghttp2 1.52.0-1
libnice 0.1.21-1
libnl 3.7.0-3
libnm 1.42.0-1
libnotify 0.8.1-1
libnsgif 0.2.1-7
libnsl 2.0.0-2
libnumbertext 1.0.11-1
libodfgen 0.1.8-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.6.8-1
liborcus 0.17.2-4
libosinfo 1.10.0-2
libp11-kit 0.24.1-1
libpagemaker 0.0.4-3
libpaper 1.1.28-2
